primekey,date,market,registration,all_users,active_users,diff,currency
1,16/09/2020,Austria,Device,1109552,99612,1009940,US
2,16/09/2020,Azerbaijan,Device,131993,12450,119543,UK
3,16/09/2020,Bahrain,Device,140557,13223,127334,DE
4,16/09/2020,Belarus,Device,237992,34222,203770,JP
5,16/09/2020,Belgium,Device,594033,63755,530278,FR
6,16/09/2020,Bosnia and Herzegovina,Device,66288,3727,62561,US
7,16/09/2020,Bulgaria,Device,92427,11461,80966,UK
8,16/09/2020,Croatia,Device,392142,27350,364792,DE
9,16/09/2020,Cyprus,Device,13899,4322,9577,JP
10,16/09/2020,Czech Republic,Device,643297,81479,561818,FR
11,16/09/2020,Denmark,Device,1067541,56434,1011107,US
12,16/09/2020,Egypt,Device,1103420,243871,859549,UK
13,16/09/2020,El Salvador,Device,72979,6049,66930,DE
14,16/09/2020,Estonia,Device,92895,8897,83998,JP
15,16/09/2020,Finland,Device,378090,50433,327657,FR
16,16/09/2020,Georgia,Device,190652,22771,167881,US
17,16/09/2020,Greece,Device,152776,18610,134166,UK
18,16/09/2020,Guatemala,Device,386086,54094,331992,DE
19,16/09/2020,Honduras,Device,20748,1979,18769,JP
20,16/09/2020,Hungary,Device,1011170,99654,911516,FR
21,16/09/2020,India - Mumbai,Device,1615715,144338,1471377,US
22,16/09/2020,Indonesia,Device,1095981,82969,1013012,UK
23,16/09/2020,Italy,Device,6235309,648512,5586797,DE
24,16/09/2020,Jordan,Device,319827,29747,290080,JP
25,16/09/2020,Kazakhstan,Device,2608,1402,1206,FR
26,16/09/2020,Kuwait,Device,313010,22949,290061,US
27,16/09/2020,Latvia,Device,127044,14385,112659,UK
28,16/09/2020,Lebanon,Device,116236,14845,101391,DE
29,16/09/2020,Lithuania,Device,162214,18118,144096,JP
30,16/09/2020,Malaysia,Device,2753150,269020,2484130,FR
31,16/09/2020,Malta,Device,27289,5644,21645,US
32,16/09/2020,Maroc,Device,421495,45712,375783,UK
33,16/09/2020,Netherlands,Device,2054512,222911,1831601,DE
34,16/09/2020,New Zealand,Device,549699,51441,498258,JP
35,16/09/2020,Nicaragua,Device,20664,2317,18347,FR
36,16/09/2020,Norway,Device,232598,40004,192594,US
37,16/09/2020,Oman,Device,106020,11584,94436,UK
38,16/09/2020,Pakistan,Device,986973,115185,871788,DE
39,16/09/2020,India - Mumbai,Device,68039,13695,54344,JP
40,16/09/2020,Philippines,Device,485870,86298,399572,FR
41,16/09/2020,Poland,Device,7044186,709620,6334566,US
42,16/09/2020,Portugal,Device,299145,98149,200996,UK
43,16/09/2020,Qatar,Device,159668,11890,147778,DE
44,16/09/2020,Romania,Device,432285,72492,359793,JP
45,16/09/2020,Saudi Arabia Jeddah,Device,851535,134433,717102,FR
46,16/09/2020,Saudi Arabia Riyadh,Device,1146408,175630,970778,US
47,16/09/2020,Serbia,Device,154388,22243,132145,UK
48,16/09/2020,SriLanka,Device,485579,115799,369780,DE
49,16/09/2020,Slovakia,Device,230385,29384,201001,JP
50,16/09/2020,Slovenia,Device,69872,13119,56753,FR
51,16/09/2020,South Africa,Device,914244,112431,801813,US
52,16/09/2020,South Korea,Device,1100833,176452,924381,UK
53,16/09/2020,Sweden,Device,1041990,128014,913976,DE
54,16/09/2020,Switzerland,Device,864646,85127,779519,JP
55,16/09/2020,Thailand,Device,459230,96465,362765,FR
56,16/09/2020,Turkey,Device,861957,40412,821545,US
57,16/09/2020,UAE,Device,530979,68533,462446,UK
58,16/09/2020,Ukraine,Device,569255,114162,455093,DE
59,16/09/2020,Unknown,Device,5127306,45584,5081722,JP
60,16/09/2020,Vietnam,Device,309176,44322,264854,FR
